name	since	until	category
English			
_builtin			Builtin
abbrev			
base64			
benchmark			Development
bigdecimal			Math
bigdecimal/jacobian			
bigdecimal/ludcmp			
bigdecimal/math			
bigdecimal/newton			
bigdecimal/util			
cgi			Network
cgi/cookie			
cgi/core			
cgi/html			
cgi/session			
cgi/session/pstore			
cgi/util			
cmath		2.7.0	Math
continuation			
coverage			Development
csv			FileFormat
date			Date/Time
dbm		3.1	Database
debug			Development
delegate			DesignPattern
did_you_mean			Development
digest			Text
digest/bubblebabble			
digest/md5			
digest/rmd160			
digest/sha1			
digest/sha2			
drb			Network
drb/acl			
drb/extserv			
drb/extservm			
drb/gw			
drb/observer			
drb/ssl			
drb/timeridconv			
drb/unix			
e2mmap		2.7.0	
erb			Text
etc			Unix
expect			CUI
fcntl			I/O
fiber		3.1	
fiddle			
fiddle/import			
fiddle/types			
fileutils			File
find			File
forwardable			DesignPattern
gdbm		3.1	Database
getoptlong			CommandLine
io/console			CUI
io/console/size			
io/nonblock			I/O
io/wait			I/O
ipaddr			Network
irb			Development
irb/cmd/chws		3.4	
irb/cmd/help		3.4	
irb/cmd/load		3.4	
irb/cmd/nop			
irb/cmd/pushws		3.4	
irb/cmd/subirb		3.4	
irb/color			
irb/completion			
irb/context			
irb/debug	3.3		
irb/default_commands	3.4		
irb/easter-egg			
irb/ext/change-ws			
irb/ext/eval_history	3.3		
irb/ext/history		3.3	
irb/ext/loader			
irb/ext/math-mode		2.5.0	
irb/ext/multi-irb			
irb/ext/save-history		3.4	
irb/ext/tracer			
irb/ext/use-loader			
irb/ext/workspaces			
irb/extend-command		3.4	
irb/frame			
irb/help			
irb/history	3.3		
irb/init			
irb/input-method			
irb/inspector			
irb/locale			
irb/magic-file		3.3	
irb/notifier			
irb/output-method			
irb/pager	3.3		
irb/ruby-lex			
irb/ruby-token		2.7.0	
irb/slex		2.7.0	
irb/src_encoding		3.3	
irb/startup_message	4.1		
irb/statement	3.3		
irb/version			
irb/workspace			
irb/ws-for-case-2			
irb/xmp			
json			FileFormat
json/add/bigdecimal			
json/add/complex			
json/add/core			
json/add/date			
json/add/date_time			
json/add/exception			
json/add/ostruct			
json/add/range			
json/add/rational			
json/add/regexp			
json/add/struct			
json/add/symbol			
json/add/time			
json/editor			
kconv			CharacterEncoding
logger			
mathn		2.5.0	Math
matrix			Math
minitest/autorun	1.9.1		
minitest/mock	1.9.1		Development
minitest/spec	1.9.1		Development
minitest/unit	1.9.1		Development
mkmf			Development
monitor			Thread
mutex_m			Thread
net/ftp			Network
net/http			Network
net/https			Network
net/imap			Network
net/pop			Network
net/protocol			Network
net/smtp			Network
net/telnet			Network
nkf			CharacterEncoding
objspace			
observer			DesignPattern
open-uri			Network
open3			I/O
openssl			Network
optparse			CommandLine
optparse/date			
optparse/shellwords			
optparse/time			
optparse/uri			
ostruct			
pathname			File
power_assert			Development
pp			Development
prettyprint			
prime			Math
prism	3.3		Text
profile		2.7.0	Development
profiler		2.7.0	Development
pstore			Database
psych			FileFormat
pty			CUI
racc/parser			
rake			Development
rake/classic_namespace			
rake/clean			
rake/gempackagetask			
rake/loaders/makefile			
rake/packagetask			
rake/rake_test_loader			
rake/rdoctask			
rake/runtest			
rake/tasklib			
rake/testtask			
rbconfig			Development
rbconfig/sizeof			Development
rdoc			FileFormat
rdoc/alias			
rdoc/anon_class			
rdoc/any_method			
rdoc/attr			
rdoc/class_module			
rdoc/code_object			
rdoc/code_objects			
rdoc/constant			
rdoc/context			
rdoc/generator			
rdoc/generator/darkfish			
rdoc/generator/json_index			
rdoc/generator/markup			
rdoc/generator/ri			
rdoc/ghost_method			
rdoc/include			
rdoc/known_classes			
rdoc/markdown			
rdoc/markdown/entities			
rdoc/markup			
rdoc/markup/formatter			
rdoc/markup/to_ansi			
rdoc/markup/to_bs			
rdoc/markup/to_html			
rdoc/markup/to_html_crossref			
rdoc/markup/to_rdoc			
rdoc/meta_method			
rdoc/normal_class			
rdoc/normal_module			
rdoc/options			
rdoc/parser			
rdoc/parser/c			
rdoc/parser/changelog			
rdoc/parser/markdown			
rdoc/parser/rd			
rdoc/parser/ruby			
rdoc/parser/ruby_tools			
rdoc/parser/simple			
rdoc/parser/text			
rdoc/rdoc.lib			
rdoc/require			
rdoc/single_class			
rdoc/stats			
rdoc/text			
rdoc/token_stream			
rdoc/top_level			
readline			CUI
reline	2.7		CUI
resolv			Network
resolv-replace			Network
rexml			FileFormat
rexml/document			
rexml/parsers/pullparser			
rexml/parsers/sax2parser			
rexml/parsers/streamparser			
rexml/parsers/ultralightparser			
rexml/sax2listener			
rexml/streamlistener			
rinda/rinda			
rinda/tuplespace			
ripper	1.9.0		Text
ripper/filter	1.9.0		
ripper/lexer	1.9.0		
ripper/sexp	1.9.0		
rss			FileFormat
rubygems			
rubygems/builder			
rubygems/command			
rubygems/command_manager			
rubygems/commands/build_command			
rubygems/commands/cert_command			
rubygems/commands/check_command			
rubygems/commands/cleanup_command			
rubygems/commands/contents_command			
rubygems/commands/dependency_command			
rubygems/commands/environment_command			
rubygems/commands/fetch_command			
rubygems/commands/generate_index_command			
rubygems/commands/help_command			
rubygems/commands/install_command			
rubygems/commands/list_command			
rubygems/commands/lock_command			
rubygems/commands/mirror_command			
rubygems/commands/outdated_command			
rubygems/commands/pristine_command			
rubygems/commands/query_command			
rubygems/commands/rdoc_command			
rubygems/commands/search_command			
rubygems/commands/server_command			
rubygems/commands/sources_command			
rubygems/commands/specification_command			
rubygems/commands/stale_command			
rubygems/commands/uninstall_command			
rubygems/commands/unpack_command			
rubygems/commands/update_command			
rubygems/commands/which_command			
rubygems/config_file			
rubygems/custom_require			
rubygems/defaults			
rubygems/dependency			
rubygems/dependency_installer			
rubygems/dependency_list			
