class	kind	method	file	line	since_attr	until_attr	real_first	real_last	real_via	db_first	db_last	current_since_badge	current_until_badge	expected_since	expected_until	verdict	note
ARGF.class	i	filename	ARGF.class.md	12	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	path	ARGF.class.md	14	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	to_s	ARGF.class.md	36	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	inspect	ARGF.class.md	38	-	-	1.9.1	4.0	inherited:Kernel	2.0.0	4.1	2.0.0	none	1.9.1	none	MISMATCH_SINCE	last-resolved-via:direct;inherited:Kernel;db-late
ARGF.class	i	file	ARGF.class.md	42	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	lineno	ARGF.class.md	61	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	lineno=	ARGF.class.md	77	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	skip	ARGF.class.md	96	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	binmode	ARGF.class.md	113	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	binmode?	ARGF.class.md	148	1.9.1	-	1.9.1	4.0	direct	2.0.0	4.1	1.9.1	none	1.9.1	none	OK	
ARGF.class	i	close	ARGF.class.md	164	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	closed?	ARGF.class.md	185	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	each	ARGF.class.md	207	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;overloads:4;special:ARGF(s)
ARGF.class	i	each_line	ARGF.class.md	209	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;overloads:4;special:ARGF(s)
ARGF.class	i	each_byte	ARGF.class.md	253	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;overloads:2;special:ARGF(s)
ARGF.class	i	each_char	ARGF.class.md	275	EMPTY	-	1.8.7	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	INFO_1_8_7	last-resolved-via:direct;overloads:2;special:ARGF(s)
ARGF.class	i	each_codepoint	ARGF.class.md	316	-	-	1.9.3	4.0	direct	2.0.0	4.1	2.0.0	none	1.9.3	none	MISMATCH_SINCE	overloads:2;db-late
ARGF.class	i	eof	ARGF.class.md	335	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	eof?	ARGF.class.md	337	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	fileno	ARGF.class.md	357	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
ARGF.class	i	to_i	ARGF.class.md	359	EMPTY	-	1.8.6	4.0	special:ARGF(s)	1.9.3	4.1	none	none	none	none	OK	last-resolved-via:direct;special:ARGF(s)
